@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22-weka.filters.unsupervised.attribute.Remove-R16'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
1,4,North,South,None,None,12,3,6,1,7,3,16,9,4099,North
1,5,North,South,East,None,11,3,6,2,6,3,17,9,4198,North
2,5,None,None,East,West,11,3,6,3,6,3,17,9,4297,East
3,5,North,South,East,West,12,3,6,4,6,3,18,9,4296,East
3,4,North,South,None,None,13,3,6,4,6,2,18,8,4295,South
3,3,North,None,East,None,13,2,6,5,6,3,18,7,4294,South
4,3,None,South,East,West,13,2,6,6,6,4,18,6,4293,East
5,3,None,None,East,West,13,1,6,7,6,3,18,7,4392,East
6,3,North,South,East,West,13,1,6,8,4,1,18,8,4691,East
6,4,North,South,None,None,13,1,6,9,3,1,18,8,4790,North
6,5,North,South,None,West,13,2,6,9,3,1,18,8,4789,North
6,6,North,South,None,None,13,2,7,9,2,1,18,9,4788,North
6,7,North,South,East,West,13,1,7,9,1,1,17,9,4787,North
6,8,North,South,None,None,12,1,7,9,1,1,18,9,4886,North
6,9,None,South,East,None,13,1,8,9,1,2,18,9,4985,North
7,9,None,None,East,West,13,2,9,9,1,1,18,9,5084,East
8,9,None,None,East,West,13,2,9,9,2,1,18,8,5183,East
9,9,None,None,East,West,13,3,2,1,3,1,18,8,5482,East
10,9,None,None,East,West,14,3,1,1,3,1,18,9,5581,East
11,9,None,None,East,West,14,3,1,2,4,1,17,9,5680,East
12,9,None,None,East,West,14,3,1,2,3,1,18,9,5779,East
13,9,None,South,None,West,15,3,1,1,2,1,18,8,5878,East
13,8,North,South,None,None,15,2,2,1,3,1,18,9,5977,South
13,7,North,South,East,West,15,2,1,1,4,1,18,8,5976,South
14,7,None,None,East,West,15,3,2,1,4,2,18,8,6075,East
15,7,North,None,East,West,15,2,2,1,4,2,18,7,6174,East
16,7,None,South,None,West,15,1,2,1,4,1,18,7,6273,East
16,6,North,South,None,None,15,2,2,1,4,1,18,8,6372,South
16,5,North,South,East,West,15,2,3,1,3,1,18,9,6471,South
16,4,North,South,None,None,15,1,3,1,3,1,18,8,6570,South
16,3,North,None,None,West,16,1,4,1,2,1,18,7,6669,South
15,3,None,South,East,West,15,1,3,1,2,1,18,7,6768,West
14,3,None,None,East,West,15,1,3,1,2,1,18,6,6867,West
13,3,North,South,East,West,15,1,3,1,3,1,18,7,6866,West
13,4,North,South,None,None,15,1,4,1,2,1,18,6,6865,North
13,5,North,South,East,None,16,1,4,1,3,1,18,7,6864,North
14,5,None,None,East,West,15,1,3,1,2,1,18,6,6963,East
15,5,None,None,East,West,16,1,4,1,1,1,18,7,7062,East
16,5,North,South,East,West,17,1,3,1,1,1,18,7,7061,East
16,6,North,South,None,None,18,1,2,1,2,1,18,7,7060,North
16,7,None,South,None,West,18,1,1,1,3,1,18,8,7059,North
15,7,North,None,East,West,18,2,1,1,3,1,18,7,7058,West
14,7,None,None,East,West,18,1,1,1,4,1,18,8,7057,West
13,7,North,South,East,West,18,2,1,2,4,1,18,7,7056,West
13,7,North,South,East,West,18,3,1,2,4,2,18,8,7055,West
13,8,North,South,None,None,18,4,1,2,4,1,18,9,7054,North
13,9,None,South,None,West,18,3,1,1,4,2,18,8,7053,North
12,9,None,None,East,West,18,2,2,1,4,3,18,7,7052,West
11,9,None,None,East,West,18,2,1,1,3,3,18,7,7051,West
10,9,None,None,East,West,18,3,1,1,4,3,18,6,7050,West
9,9,None,None,East,West,18,3,1,2,5,3,18,5,7049,West
8,9,None,None,East,West,18,3,1,1,4,3,18,5,7048,West
7,9,None,None,East,West,18,4,1,2,4,3,17,5,7047,West
6,9,None,South,East,None,18,5,1,3,3,3,16,5,7046,West
6,8,North,South,None,None,18,5,1,2,3,4,16,4,7045,South
6,7,North,South,East,West,18,6,1,3,3,5,16,5,7044,South
6,6,North,South,None,None,18,6,1,4,3,5,16,5,7043,South
6,5,North,South,None,West,18,5,1,4,3,4,16,5,7042,South
5,5,None,None,East,West,18,4,1,3,3,4,17,5,7041,West
4,5,None,None,East,West,18,4,1,2,3,4,18,5,7040,West
3,5,North,South,East,West,18,4,1,2,3,4,18,6,7039,West
3,4,North,South,None,None,18,4,1,1,6,1,18,6,7238,South
9,1,None,None,East,West,3,3,8,5,11,5,18,9,0,Stop
10,1,None,None,East,West,3,3,8,5,11,5,18,9,99,East
11,1,None,None,East,West,3,4,8,5,11,5,18,8,198,East
12,1,None,None,East,West,3,4,9,5,10,5,18,7,297,East
13,1,North,None,None,West,3,4,9,6,10,6,18,7,396,East
13,2,North,South,None,None,3,5,10,6,10,7,18,8,495,North
13,3,North,South,East,West,3,5,9,6,10,6,18,8,594,North
13,4,North,South,None,None,3,6,9,7,10,7,18,9,693,North
13,5,North,South,East,None,3,7,9,6,9,7,18,8,792,North
13,6,North,South,None,None,4,7,9,6,9,7,18,8,891,North
13,7,North,South,East,West,5,7,9,6,9,7,18,9,990,North
12,7,None,None,East,West,6,7,9,7,9,7,18,9,1089,West
11,7,None,None,East,West,7,7,9,6,8,7,17,9,1188,West
10,7,None,South,East,West,7,7,9,5,9,7,17,9,1287,West
9,7,None,South,East,West,8,7,9,5,6,1,17,9,1586,West
8,7,None,None,East,West,1,2,10,5,6,2,16,9,1885,West
7,7,None,None,East,West,1,1,11,5,6,2,16,9,1984,West
6,7,North,South,East,West,2,1,10,5,6,3,15,9,2083,West
6,6,North,South,None,None,3,1,11,5,7,3,15,9,2182,South
6,5,North,South,None,West,2,1,10,5,7,3,16,9,2281,South
6,4,North,South,None,None,1,1,10,5,6,3,17,9,2380,South
6,3,North,South,East,West,1,2,9,5,6,1,17,9,2679,South
7,3,None,None,East,West,1,3,10,5,6,1,16,9,2778,East
8,3,None,None,East,West,1,2,11,5,6,1,17,9,2877,East
9,3,None,None,East,West,1,1,11,5,6,2,17,9,2976,East
10,3,None,None,East,West,1,2,11,5,6,1,18,9,3075,East
11,3,None,None,East,West,1,1,10,5,6,1,18,8,3174,East
12,3,None,None,East,West,1,1,9,5,6,1,18,9,3273,East
13,3,North,South,East,West,1,2,10,5,7,1,18,8,3272,East
13,4,North,South,None,None,1,3,10,5,6,1,18,7,3271,North
13,5,North,South,East,None,1,2,10,5,7,1,18,7,3270,North
13,6,North,South,None,None,1,1,10,5,8,1,18,7,3269,North
13,7,North,South,East,West,1,1,9,5,9,1,18,8,3268,North
13,8,North,South,None,None,2,1,9,5,9,1,18,7,3367,North
13,9,None,South,None,West,3,1,8,5,8,1,18,7,3466,North
12,9,None,None,East,West,3,1,9,5,7,1,18,6,3565,West
11,9,None,None,East,West,3,1,9,5,8,1,18,6,3664,West
10,9,None,None,East,West,4,1,8,5,9,1,18,6,3763,West
9,9,None,None,East,West,4,1,8,5,8,1,18,6,3862,West
