@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
11,10,North,South,None,West,1,1,3,1,19,5,24,14,340,North
11,11,North,South,None,West,1,1,3,1,18,5,24,15,339,North
11,12,None,South,East,West,1,1,3,1,19,5,25,15,338,North
12,12,None,None,East,West,1,1,3,1,19,5,25,16,337,East
13,12,None,South,East,West,1,1,3,1,19,4,24,16,336,East
13,11,North,South,East,None,1,1,3,1,20,4,23,16,335,South
14,11,North,South,East,West,1,1,3,1,21,4,23,15,334,East
14,10,North,South,East,West,1,1,3,1,21,3,23,16,333,South
14,9,North,South,None,West,1,1,3,1,21,3,24,16,332,South
14,8,North,South,East,West,1,1,3,1,21,3,25,16,331,South
14,7,North,South,None,West,1,1,3,1,21,3,25,17,330,South
14,6,North,South,East,West,1,1,3,1,21,3,25,16,329,South
14,5,North,South,None,West,1,1,3,1,21,4,25,16,328,South
14,4,North,South,East,West,1,1,3,1,20,4,25,15,327,South
15,4,None,South,East,West,1,1,3,1,20,5,25,15,326,East
16,4,None,South,East,West,1,1,3,1,19,5,24,15,325,East
17,4,North,South,East,West,1,1,3,1,19,5,24,16,324,East
17,5,North,South,East,None,1,1,3,1,18,5,23,16,323,North
18,5,North,South,East,West,1,1,3,1,5,1,23,16,522,East
18,6,None,South,East,West,1,1,3,1,5,1,23,15,521,North
19,6,None,South,East,West,1,1,3,1,5,1,23,14,520,East
20,6,None,South,East,West,1,1,3,1,5,1,22,14,519,East
21,6,None,None,East,West,1,1,3,1,5,1,22,14,518,East
22,6,None,None,East,West,1,1,3,1,5,1,22,13,517,East
23,6,North,South,East,West,1,1,3,1,5,1,22,14,516,East
