@RELATION pacmanInformation
@ATTRIBUTE PacPosX NUMERIC
@ATTRIBUTE PacPosY NUMERIC
@ATTRIBUTE ActN {North, None}
@ATTRIBUTE ActSo {South, None}
@ATTRIBUTE ActE {East, None}
@ATTRIBUTE ActW {West, None}
@ATTRIBUTE ActS {Stop, None}
@ATTRIBUTE NumAgents NUMERIC
@ATTRIBUTE G1PosX NUMERIC
@ATTRIBUTE G1PosY NUMERIC
@ATTRIBUTE G2PosX NUMERIC
@ATTRIBUTE G2PosY NUMERIC
@ATTRIBUTE G3PosX NUMERIC
@ATTRIBUTE G3PosY NUMERIC
@ATTRIBUTE G4PosX NUMERIC
@ATTRIBUTE G4PosY NUMERIC
@ATTRIBUTE DistG1 NUMERIC
@ATTRIBUTE DistG2 NUMERIC
@ATTRIBUTE DistG3 NUMERIC
@ATTRIBUTE DistG4 NUMERIC
@ATTRIBUTE NumDots NUMERIC
@ATTRIBUTE DistDot NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE PacDir {North, South, East, West, Stop, None}
@DATA
13,3,North,South,East,West,Stop,4,2,5,10,5,10,6,17,9,13,5,6,11,89,1,594,693,North
13,4,North,South,None,None,Stop,4,2,5,11,5,10,6,18,9,12,3,5,10,88,1,693,792,North
13,5,North,South,East,None,Stop,4,3,5,10,5,10,7,18,9,10,3,5,9,87,1,792,891,North
13,6,North,South,None,None,Stop,4,3,6,10,5,10,6,18,9,10,4,3,7,86,1,891,990,North
13,7,North,South,East,West,Stop,4,3,5,10,5,9,6,17,9,12,5,5,5,85,1,990,1089,North
12,7,None,None,East,West,Stop,4,3,6,10,6,9,6,16,9,10,3,4,7,84,1,1089,1188,West
11,7,None,None,East,West,Stop,4,3,7,10,5,9,6,17,9,8,3,3,9,83,1,1188,1287,West
10,7,None,South,East,West,Stop,4,4,7,10,5,9,5,18,9,6,2,3,9,82,1,1287,1286,West
10,6,North,South,None,West,Stop,4,4,7,9,5,9,6,18,8,7,2,1,11,82,2,1286,1685,South
9,6,North,South,East,None,Stop,2,3,7,3,1,6,1,18,9,7,0,0,11,82,1,1685,1784,West
9,7,None,South,East,West,Stop,2,3,7,4,1,6,2,18,8,6,0,8,10,81,1,1784,1883,North
8,7,None,None,East,West,Stop,2,3,7,4,2,6,1,18,8,5,9,0,12,80,1,1883,1982,West
7,7,None,None,East,West,Stop,2,3,7,4,2,6,2,18,9,4,8,6,12,79,1,1982,2081,West
6,7,North,South,East,West,Stop,2,4,7,4,1,6,3,18,8,2,0,4,12,78,1,2081,2180,West
5,7,None,None,East,West,Stop,2,4,7,3,1,6,2,18,7,1,0,6,14,77,1,2180,2479,West

9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,99,Stop
10,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,9,6,5,16,94,1,99,198,East
11,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,15,93,1,198,297,East
12,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,11,8,5,14,92,1,297,396,East
13,1,North,None,None,West,Stop,4,3,3,8,5,11,5,18,9,12,9,6,13,91,1,396,495,East
13,2,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,8,5,12,90,1,495,594,North
13,3,North,South,East,West,Stop,4,3,3,8,5,11,5,18,9,10,7,4,11,89,1,594,693,North
13,4,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,11,6,3,10,88,1,693,792,North
13,5,North,South,East,None,Stop,4,3,3,8,5,11,5,18,9,12,5,2,9,87,1,792,891,North
13,6,North,South,None,None,Stop,4,3,3,8,5,11,5,18,9,13,6,3,8,86,1,891,990,North
13,7,North,South,East,West,Stop,4,3,3,8,5,11,5,18,9,14,7,4,7,85,1,990,1089,North
12,7,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,13,6,3,8,84,1,1089,1188,West
11,7,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,12,5,2,9,83,1,1188,1287,West
10,7,None,South,East,West,Stop,4,3,3,8,5,11,5,18,9,11,4,3,10,82,1,1287,1286,West
10,6,North,South,None,West,Stop,4,3,3,8,5,11,5,18,9,10,3,2,11,82,2,1286,1285,South

9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,99,Stop
10,1,None,None,East,West,Stop,4,3,3,9,5,10,5,18,9,9,5,4,16,94,1,99,198,East
11,1,None,None,East,West,Stop,4,4,3,10,5,9,5,18,9,9,5,6,14,93,1,198,297,East
12,1,None,None,East,West,Stop,4,3,3,9,5,8,5,18,8,11,7,8,13,92,1,297,396,East
13,1,North,None,None,West,Stop,4,4,3,9,6,9,5,18,8,11,9,8,11,91,1,396,495,East
13,2,North,South,None,None,Stop,4,5,3,9,5,8,5,18,7,9,7,8,11,90,1,495,594,North
13,3,North,South,East,West,Stop,4,5,3,9,5,9,5,18,8,8,6,6,9,89,1,594,693,North
13,4,North,South,None,None,Stop,4,5,3,9,6,10,5,18,7,9,6,4,8,88,1,693,792,North
13,5,North,South,East,None,Stop,4,5,3,9,6,9,5,18,7,10,5,4,7,87,1,792,891,North
13,6,North,South,None,None,Stop,4,5,3,10,6,9,6,18,7,11,3,4,6,86,1,891,990,North
13,7,North,South,East,West,Stop,4,6,3,10,7,10,6,18,7,11,3,4,6,85,1,990,1089,North
12,7,None,None,East,West,Stop,4,6,4,11,7,9,6,18,8,9,1,4,8,84,1,1089,1388,West
11,7,None,None,East,West,Stop,3,6,3,4,1,9,6,18,9,9,0,3,8,83,1,1388,1487,West
10,7,None,South,East,West,Stop,3,6,3,4,1,9,5,18,8,8,0,3,10,82,1,1487,1486,West
10,6,North,South,None,West,Stop,3,6,4,3,1,9,5,18,9,6,0,2,10,82,2,1486,1685,South
9,6,North,South,East,None,Stop,2,6,4,4,1,5,1,17,9,5,0,0,12,82,1,1685,1684,West
9,5,North,None,East,West,Stop,2,6,4,4,2,6,1,18,9,4,8,0,12,82,2,1684,1683,South
8,5,None,None,East,None,Stop,2,6,3,4,3,7,1,18,8,4,6,0,14,82,2,1683,1682,West
9,5,North,None,East,West,Stop,2,6,4,3,3,7,1,18,9,4,8,0,12,82,2,1682,1681,East
10,5,North,None,East,West,Stop,2,6,4,3,3,7,1,17,9,5,9,0,11,82,2,1681,1680,East
11,5,None,None,None,West,Stop,2,6,5,3,3,8,1,17,9,5,10,0,10,82,2,1680,1679,East
10,5,North,None,East,West,Stop,2,5,5,3,4,8,1,17,9,5,8,0,11,82,2,1679,1678,West
9,5,North,None,East,West,Stop,2,5,5,3,5,7,1,17,9,4,6,0,12,82,2,1678,1677,West
8,5,None,None,East,None,Stop,2,6,5,3,6,8,1,17,9,2,6,0,14,82,2,1677,1676,West
9,5,North,None,East,West,Stop,2,5,5,3,5,8,1,18,9,4,6,0,13,82,2,1676,1675,East
10,5,North,None,East,West,Stop,2,6,5,2,5,8,1,18,9,4,8,0,12,82,2,1675,1674,East
11,5,None,None,None,West,Stop,2,6,4,3,5,7,1,18,9,6,8,0,10,82,2,1674,1673,East
10,5,North,None,East,West,Stop,2,6,5,3,4,6,1,18,8,4,8,0,11,82,2,1673,1672,West
9,5,North,None,East,West,Stop,2,6,4,3,3,6,1,18,8,4,8,0,12,82,2,1672,1671,West
